city,lat,lon,temp,humidity,clouds,windspeed,temp_max
pontianak,-0.03,109.33,24.39,93,100,2.07,24.39
rio gallegos,-51.62,-69.22,15.0,45,90,5.1,15.0
saint-pierre,-21.34,55.48,20.3,73,11,3.6,24.0
camocim,-2.9,-40.84,25.86,88,100,3.18,25.86
west plains,36.73,-91.85,22.47,56,90,5.7,23.89
altay,47.87,88.12,5.86,37,100,2.36,5.86
dukat,62.55,155.55,-12.91,87,62,1.94,-12.91
college,64.86,-147.8,-9.78,56,90,4.6,-8.0
sabang,5.89,95.32,27.62,77,75,4.66,27.62
arlit,18.74,7.39,32.27,8,0,4.54,32.27
chifeng,42.27,118.96,0.94,51,0,4.47,0.94
celestun,20.87,-90.4,29.25,58,0,5.62,29.25
pathankot,32.28,75.65,19.64,38,86,1.81,19.64
wanaka,-44.7,169.15,13.78,66,99,2.55,13.78
cacule,-14.5,-42.22,24.16,73,55,2.71,24.16
kontagora,10.4,5.47,32.21,33,12,2.78,32.21
sept-iles,50.2,-66.38,1.36,47,75,7.7,2.0
half moon bay,37.46,-122.43,9.08,93,75,2.61,12.22
mirnyy,62.54,113.96,-2.0,54,71,3.0,-2.0
sorong,-0.88,131.25,24.28,87,72,1.12,24.28
farah,32.5,62.5,13.27,43,0,1.47,13.27
acarau,-2.89,-40.12,26.52,87,99,2.71,26.52
verkhnyaya toyma,62.23,45.0,-4.54,95,0,2.96,-4.54
sakaraha,-22.9,44.53,20.26,80,2,1.82,20.26
moses lake,47.13,-119.28,15.59,37,1,3.6,17.78
san miguel,13.48,-88.18,34.0,56,20,2.1,34.0
zlobin,45.29,14.65,7.94,37,0,3.23,8.33
shakawe,-18.37,21.85,20.77,35,1,0.09,20.77
znamenka,52.42,41.43,-0.76,84,1,3.23,-0.76
jeremie,18.65,-74.12,27.46,72,72,2.08,27.46
tabou,4.42,-7.35,27.62,85,9,2.77,27.62
qui nhon,13.77,109.23,24.71,80,82,0.86,24.71
akcakoca,41.09,31.12,7.84,74,2,4.7,7.84
tombouctou,20.0,-3.0,30.36,11,0,4.05,30.36
samarai,-10.62,150.67,26.25,80,51,3.87,26.25
vysokopillya,47.49,33.53,5.0,20,0,2.96,5.0
leshukonskoye,64.9,45.76,-6.14,97,90,2.68,-6.14
carupano,10.67,-63.26,29.55,60,90,6.16,29.55
buala,-8.14,159.59,27.99,80,100,4.39,27.99
yambio,4.57,28.4,23.2,60,21,1.07,23.2
vanderhoof,54.02,-124.02,4.61,59,100,3.78,4.61
de aar,-30.65,24.01,13.18,25,56,4.76,13.18
omsukchan,62.53,155.8,-11.42,87,61,1.7,-11.42
yonezawa,37.92,140.12,2.78,69,50,2.17,2.78
kirsanov,52.65,42.72,-0.46,79,2,4.77,-0.46
kununurra,-15.77,128.73,28.0,61,40,2.6,28.0
okato,-39.2,173.88,13.92,74,87,0.45,15.56
vung tau,10.35,107.08,26.91,76,98,4.86,26.91
tessalit,20.2,1.01,27.69,11,0,5.92,27.69
shetpe,44.17,52.12,3.19,62,0,10.7,3.19
nikolskoye,59.7,30.79,1.75,80,94,1.0,2.22
batesville,35.77,-91.64,24.18,57,90,2.6,25.56
arman,59.7,150.17,-8.64,92,47,2.28,-8.64
kavieng,-2.57,150.8,28.34,72,39,1.89,28.34
bathsheba,13.22,-59.52,27.0,78,40,7.2,27.0
ovalle,-30.6,-71.2,28.57,27,1,2.93,28.57
boa vista,2.82,-60.67,28.0,78,75,2.1,28.0
ust-kut,56.79,105.77,-2.5,91,0,0.97,-2.5
malinovskiy,61.2,62.84,-4.43,94,0,3.78,-4.43
mokrous,51.23,47.52,-0.61,84,25,7.56,-0.61
salaya,22.32,69.6,24.37,75,1,2.95,24.37
pervomayskoye,43.92,46.71,4.67,62,1,5.01,4.67
riviere-au-renard,49.0,-64.4,2.0,40,40,10.3,2.0
aklavik,68.22,-135.01,-0.22,90,75,4.1,0.0
imbituba,-28.24,-48.67,21.0,64,75,3.1,21.0
kassala,15.45,36.4,30.31,36,42,5.33,30.31
kapuskasing,49.42,-82.43,8.0,28,20,6.2,8.0
rossland,49.08,-117.8,11.7,24,7,0.75,12.22
uelzen,52.97,10.57,12.63,57,0,0.5,15.0
madoc,44.51,-77.47,12.3,39,40,8.7,13.89
mattru,7.62,-11.83,26.8,85,76,1.83,26.8
propria,-10.21,-36.84,26.55,82,36,2.92,26.55
yucca valley,34.11,-116.43,5.87,100,90,3.1,17.0
iguguno,-4.57,34.63,18.4,61,98,0.62,18.4
dauriya,49.93,116.87,-3.07,74,0,1.74,-3.07
yaan,7.38,8.57,29.45,64,48,3.72,29.45
ust-ishim,57.69,71.17,3.16,88,35,3.83,3.16
ratne,51.67,24.53,6.48,56,0,3.0,6.48
tilichiki,60.47,166.1,-5.6,95,100,3.44,-5.6
labuhan,-6.88,112.21,25.47,85,100,1.88,25.47
tynda,55.17,124.72,-10.61,89,0,1.61,-10.61
morros,-9.45,-46.3,27.9,64,84,1.97,27.9
loukhi,66.08,33.04,-4.38,94,100,3.31,-4.38
siauliai,55.93,23.32,5.0,52,18,3.6,5.0
bacolod,10.67,122.95,23.91,76,0,2.45,23.91
bardiyah,31.76,25.09,15.24,65,0,3.25,15.24
hakui,36.88,136.78,2.98,69,75,2.1,5.0
pokhara,28.23,83.98,15.66,22,0,2.91,15.66
winneba,5.35,-0.62,28.0,88,8,3.1,28.0
yulara,-25.24,130.99,18.0,34,100,4.1,18.0
zeya,53.75,127.27,-8.84,87,0,4.11,-8.84
shibetsu,43.66,145.13,1.15,89,33,3.66,1.15
usinsk,65.99,57.53,-10.19,95,100,4.23,-10.19
moerai,-22.43,-151.33,27.5,80,100,3.28,27.5
kamaishi,39.27,141.88,5.38,67,46,5.17,5.38
erie,42.77,-78.67,12.22,40,75,5.7,14.44
belaya gora,68.53,146.42,-7.32,97,99,3.72,-7.32
osijek,45.55,18.69,8.58,38,0,2.6,10.56
kudahuvadhoo,2.67,72.89,29.02,67,56,2.1,29.02
havoysund,71.0,24.66,-1.0,80,75,8.7,-1.0
oneida,43.2,-75.47,12.34,30,1,4.1,13.33
velez,6.01,-73.67,17.44,60,98,0.42,17.44
padang,-0.95,100.35,24.57,76,99,0.48,24.57
ginda,30.69,78.49,9.31,23,0,3.11,9.31
wamba,8.93,8.6,28.9,57,15,1.6,28.9
rundu,-17.93,19.77,23.0,73,2,1.0,23.0
taltal,-25.4,-70.48,21.99,61,9,1.73,21.99
poum,-20.23,164.02,25.82,76,86,5.81,25.82
dunda,-8.12,34.25,19.07,66,100,0.75,19.07
